,LITHO,DESCRIPTION
0,UHSM,Upper Hot Shale Member
1,LHSM,Lower Hot Shale Member
2,OXSH,Oxfordian Shale
3,MISH,Mid Shale
4,BLAS,Black Shales
5,KLSG,Lower Cretaceous Shale Group
6,VKSG,Volkim Shale Group
7,BLSG,Black Shale Group
8,OXSG,Oxfordian Shale Group
9,LAWS,Ladys Walk Shale
10,SLSH,Slow Shale
11,OXSS,Oxfordian Slow Shale
